text,level,conf,height
,1,-1.0,667
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
Undergraduate,5,95.344604,17
Topics,5,96.763992,16
in,5,92.258492,12
Computer,5,96.917046,16
Science,5,81.183212,12
