text,level,conf,height
,1,-1.0,684
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
W.,5,92.144241,14
D.,5,92.144241,14
Wallis,5,96.907677,15
,2,-1.0,112
,3,-1.0,112
,4,-1.0,47
Mathematics,5,96.131775,47
,4,-1.0,47
in,5,96.897057,46
the,5,96.907814,47
Real,5,96.888702,47
World,5,95.612,62
,2,-1.0,24
,3,-1.0,24
,4,-1.0,24
®,5,86.369995,24
Birkhauser,5,95.324013,17
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
